iter	Passed	Remaining
983	14352	17736
984	14366	17721
985	14379	17704
986	14395	17692
987	14407	17673
988	14423	17661
989	14437	17646
990	14453	17632
991	14465	17614
992	14480	17601
993	14496	17587
994	14509	17571
995	14526	17560
996	14543	17548
997	14558	17533
998	14571	17517
999	14584	17501
1000	14600	17488
1001	14613	17472
1002	14626	17455
1003	14639	17438
1004	14653	17423
1005	14671	17413
1006	14686	17399
1007	14699	17382
1008	14714	17368
1009	14732	17357
1010	14744	17340
1011	14760	17326
1012	14774	17312
1013	14790	17299
1014	14803	17283
1015	14819	17269
1016	14832	17253
1017	14849	17241
1018	14863	17226
1019	14879	17213
1020	14895	17200
1021	14910	17186
1022	14923	17170
1023	14940	17158
1024	14957	17145
1025	14972	17131
1026	14987	17118
1027	15002	17103
1028	15017	17090
1029	15032	17075
1030	15045	17059
1031	15061	17046
1032	15076	17032
1033	15089	17015
1034	15103	17001
1035	15118	16986
1036	15132	16970
1037	15146	16955
1038	15162	16942
1039	15174	16925
1040	15189	16911
1041	15204	16897
1042	15218	16881
1043	15232	16866
1044	15248	16853
1045	15262	16838
1046	15277	16824
1047	15293	16811
1048	15307	16795
1049	15323	16782
1050	15335	16765
1051	15347	16748
1052	15364	16736
1053	15380	16723
1054	15397	16710
1055	15409	16693
1056	15426	16681
1057	15441	16667
1058	15456	16653
1059	15469	16637
1060	15486	16624
1061	15501	16611
1062	15515	16595
1063	15529	16580
1064	15545	16567
1065	15558	16550
1066	15573	16536
1067	15589	16523
1068	15603	16508
1069	15620	16496
1070	15635	16482
1071	15651	16468
1072	15668	16457
1073	15684	16443
1074	15698	16428
1075	15714	16415
1076	15729	16401
1077	15743	16385
1078	15756	16370
1079	15770	16355
1080	15786	16341
1081	15802	16327
1082	15815	16312
1083	15830	16297
1084	15849	16287
1085	15861	16270
1086	15876	16255
1087	15888	16239
1088	15903	16224
1089	15917	16209
1090	15930	16192
1091	15946	16180
1092	15962	16167
1093	15979	16154
1094	15995	16141
1095	16011	16128
1096	16025	16113
1097	16039	16097
1098	16054	16083
1099	16071	16071
1100	16084	16055
1101	16101	16043
1102	16116	16029
1103	16130	16013
1104	16146	16000
1105	16161	15985
1106	16175	15971
1107	16192	15958
1108	16206	15943
1109	16219	15927
1110	16233	15911
1111	16249	15898
1112	16263	15884
1113	16279	15870
1114	16296	15857
1115	16313	15846
1116	16327	15830
1117	16344	15818
1118	16358	15802
1119	16373	15789
1120	16386	15772
1121	16405	15762
1122	16419	15746
1123	16431	15729
1124	16447	15716
1125	16461	15700
1126	16476	15686
1127	16490	15672
1128	16505	15657
1129	16523	15646
1130	16538	15631
1131	16552	15616
1132	16566	15601
1133	16583	15589
1134	16599	15576
1135	16614	15561
1136	16631	15548
1137	16643	15531
1138	16658	15517
1139	16674	15504
1140	16690	15490
